File,Start Line #,End Line #,Start Column #,End Column #,TarantulaRater,OchiaiRater,IntensityRater,DBB Size
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,27,27,9,48,0.5,0.2357023,17,2
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,31,31,9,44,0.5,0.2357023,17,2
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,241,241,9,10,0,0,4,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,242,242,13,58,0,0,4,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,243,243,9,10,0,0,4,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,145,145,9,10,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,146,150,13,4,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,155,155,13,27,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,162,162,13,27,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,163,163,13,46,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,165,165,13,23,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,167,167,18,23,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,168,168,17,37,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,167,167,32,35,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,167,167,25,30,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,170,170,13,57,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,171,171,9,10,0,0,9,12
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,234,234,9,10,0,0,8,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,236,236,13,63,0,0,8,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,237,237,9,10,0,0,8,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,177,177,9,10,0,0,8,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,182,182,13,26,0,0,8,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,185,185,13,40,0,0,5,7
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,187,187,18,23,0,0,5,7
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,188,188,13,14,0,0,5,7
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,189,189,17,40,0,0,5,7
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,191,191,17,57,0,0,5,7
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,192,192,21,77,0,0,5,7
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,187,187,25,35,0,0,5,7
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,196,196,9,10,0,0,8,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,265,265,9,10,0.7727273,0.4082483,5,6
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,272,272,13,29,0.7727273,0.4082483,5,6
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,273,273,13,29,0.7727273,0.4082483,5,6
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,275,275,13,38,0.7727273,0.4082483,5,6
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,276,276,13,14,0,0,4,4
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,277,277,17,25,0,0,4,4
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,278,278,17,29,0,0,4,4
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,279,279,17,27,0,0,4,4
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,377,377,13,25,0.7727273,0.4082483,5,6
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,378,378,9,10,0.7727273,0.4082483,5,6
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,183,183,17,28,0,0,3,1
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,282,282,13,29,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,283,283,17,18,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,284,284,13,32,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,285,285,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,291,291,17,18,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,292,292,13,32,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,293,293,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,302,302,13,21,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,304,304,18,23,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,305,305,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,306,306,17,34,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,308,308,22,27,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,309,309,17,18,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,310,310,21,47,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,312,312,21,32,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,318,318,21,38,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,319,319,17,18,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,308,308,36,39,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,308,308,29,34,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,321,321,17,34,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,322,322,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,304,304,32,35,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,304,304,25,30,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,324,324,13,26,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,332,332,18,23,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,333,333,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,334,334,17,34,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,336,336,22,27,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,337,337,21,53,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,336,336,36,39,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,336,336,29,34,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,339,339,17,29,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,340,340,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,332,332,32,35,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,332,332,25,30,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,344,344,13,36,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,346,346,18,23,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,347,347,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,348,348,17,35,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,350,350,17,30,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,351,351,21,47,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,353,353,22,27,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,354,354,17,18,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,355,355,21,59,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,357,357,21,35,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,358,358,25,53,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,359,359,17,18,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,353,353,36,39,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,353,353,29,34,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,360,360,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,346,346,32,35,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,346,346,25,30,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,362,362,18,23,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,363,363,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,364,364,17,35,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,366,366,17,30,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,367,367,21,47,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,368,368,13,14,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,362,362,32,35,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,362,362,25,30,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,370,370,13,25,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,373,373,13,23,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,375,375,13,23,0.9444444,0.7071068,1,63
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,156,156,13,14,0,0,7,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,157,157,17,42,0,0,7,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,159,159,17,72,0,0,7,3
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,200,200,9,10,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,202,202,13,31,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,202,202,32,42,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,202,202,43,52,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,203,203,17,26,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,203,203,27,36,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,203,203,37,44,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,205,205,18,23,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,206,206,13,14,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,208,208,17,39,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,209,209,17,37,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,211,211,17,44,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,212,212,17,44,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,213,213,17,32,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,214,214,17,40,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,215,215,17,40,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,217,217,17,31,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,218,218,17,18,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,219,219,21,54,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,221,221,21,37,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,223,223,21,60,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,224,224,25,79,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,226,226,21,30,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,227,227,17,18,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,228,228,13,14,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,205,205,37,40,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,205,205,25,35,0,0,3,28
D:\Documents and Settings\212059614\Desktop\PexFaultLocalization\SiemensSuite\TotInfo\TotInfo\BaseVersion.cs,230,230,9,10,0,0,3,28
